"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","41281","CITY OF ST. FRANCIS - MILWAUKEE COUNTY","740","724","0","0"
"2021 Spring Primary","41282","CITY OF SOUTH MILWAUKEE - MILWAUKEE COUNTY","1325","1205","0","0"
"2021 Spring Primary","41291","CITY OF WAUWATOSA - MILWAUKEE COUNTY","3647","3300","0","0"
"2021 Spring Primary","41292","CITY OF WEST ALLIS - MILWAUKEE COUNTY","3597","3561","0","0"
"2021 Spring Primary","42002","TOWN OF ADRIAN - MONROE COUNTY","12","12","0","0"
"2021 Spring Primary","42004","TOWN OF ANGELO - MONROE COUNTY","18","18","0","0"
"2021 Spring Primary","42006","TOWN OF BYRON - MONROE COUNTY","21","21","0","0"
"2021 Spring Primary","42008","TOWN OF CLIFTON - MONROE COUNTY","2","2","0","0"
"2021 Spring Primary","42010","TOWN OF GLENDALE - MONROE COUNTY","12","12","0","0"
"2021 Spring Primary","42012","TOWN OF GRANT - MONROE COUNTY","5","5","0","0"
"2021 Spring Primary","42014","TOWN OF GREENFIELD - MONROE COUNTY","12","12","0","0"
"2021 Spring Primary","42016","TOWN OF JEFFERSON - MONROE COUNTY","4","4","0","0"
"2021 Spring Primary","42018","TOWN OF LAFAYETTE - MONROE COUNTY","1","0","0",""
"2021 Spring Primary","42020","TOWN OF LA GRANGE - MONROE COUNTY","51","51","0","0"
"2021 Spring Primary","42022","TOWN OF LEON - MONROE COUNTY","22","22","0","0"
"2021 Spring Primary","42024","TOWN OF LINCOLN - MONROE COUNTY","13","13","0","0"
"2021 Spring Primary","42026","TOWN OF LITTLE FALLS - MONROE COUNTY","27","27","0","0"
"2021 Spring Primary","42028","TOWN OF NEW LYME - MONROE COUNTY","1","0","0",""
"2021 Spring Primary","42030","TOWN OF OAKDALE - MONROE COUNTY","6","6","0","0"
"2021 Spring Primary","42032","TOWN OF PORTLAND - MONROE COUNTY","8","8","0","0"
"2021 Spring Primary","42034","TOWN OF RIDGEVILLE - MONROE COUNTY","3","3","0","0"
"2021 Spring Primary","42038","TOWN OF SHELDON - MONROE COUNTY","4","4","0","0"
"2021 Spring Primary","42040","TOWN OF SPARTA - MONROE COUNTY","120","118","0","0"
"2021 Spring Primary","42042","TOWN OF TOMAH - MONROE COUNTY","35","35","0","0"
"2021 Spring Primary","42044","TOWN OF WELLINGTON - MONROE COUNTY","12","12","0","0"
"2021 Spring Primary","42046","TOWN OF WELLS - MONROE COUNTY","16","15","0","0"
"2021 Spring Primary","42048","TOWN OF WILTON - MONROE COUNTY","9","9","0","0"
"2021 Spring Primary","42111","VILLAGE OF CASHTON - MONROE COUNTY","11","11","0","0"
"2021 Spring Primary","42141","VILLAGE OF KENDALL - MONROE COUNTY","13","13","0","0"
"2021 Spring Primary","42161","VILLAGE OF NORWALK - MONROE COUNTY","7","0","0",""
"2021 Spring Primary","42185","VILLAGE OF WARRENS - MONROE COUNTY","8","0","0",""
"2021 Spring Primary","42191","VILLAGE OF WILTON - MONROE COUNTY","9","0","0",""
"2021 Spring Primary","42192","VILLAGE OF WYEVILLE - MONROE COUNTY","4","4","0","0"
"2021 Spring Primary","42281","CITY OF SPARTA - MONROE COUNTY","470","463","4","0"
"2021 Spring Primary","42286","CITY OF TOMAH - MONROE COUNTY","299","296","0","0"
"2021 Spring Primary","43002","TOWN OF ABRAMS - OCONTO COUNTY","72","0","0",""
"2021 Spring Primary","43006","TOWN OF BAGLEY - OCONTO COUNTY","5","0","0",""
"2021 Spring Primary","43008","TOWN OF BRAZEAU - OCONTO COUNTY","34","34","0","0"
"2021 Spring Primary","43010","TOWN OF BREED - OCONTO COUNTY","20","0","0",""
"2021 Spring Primary","43012","TOWN OF CHASE - OCONTO COUNTY","79","76","0","0"
"2021 Spring Primary","43014","TOWN OF DOTY - OCONTO COUNTY","11","11","0","0"
"2021 Spring Primary","43016","TOWN OF GILLETT - OCONTO COUNTY","18","0","0",""
"2021 Spring Primary","43018","TOWN OF HOW - OCONTO COUNTY","10","0","0",""
"2021 Spring Primary","43019","TOWN OF LAKEWOOD - OCONTO COUNTY","32","0","0",""
"2021 Spring Primary","43020","TOWN OF LENA - OCONTO COUNTY","16","0","0",""
"2021 Spring Primary","43022","TOWN OF LITTLE RIVER - OCONTO COUNTY","28","0","0",""
"2021 Spring Primary","43024","TOWN OF LITTLE SUAMICO - OCONTO COUNTY","176","167","0","0"
"2021 Spring Primary","43026","TOWN OF MAPLE VALLEY - OCONTO COUNTY","12","0","0",""
"2021 Spring Primary","43028","TOWN OF MORGAN - OCONTO COUNTY","41","5","0","0"
"2021 Spring Primary","43029","TOWN OF MOUNTAIN - OCONTO COUNTY","17","0","0",""
